,Unnamed: 0,labels,level2,level1,urls,Product_count,actual
101,102,cocoa drinks,tea/cocoa drinks,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=cocoa drinks&newSort=true,65 results for 'cocoa drinks',65
102,103,bottled water,non-alc. drinks,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=bottled water&newSort=true,145 results for 'bottled water',145
103,104,soda,non-alc. drinks,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=soda&newSort=true,34 results for 'soda',34
104,105,misc. beverages,non-alc. drinks,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=misc. beverages&newSort=true,No results for 'misc. beverages',
105,106,fruit/vegetable juice,non-alc. drinks,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=fruit/vegetable juice&newSort=true,No results for 'fruit/vegetable juice',
106,107,syrup,non-alc. drinks,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=syrup&newSort=true,175 results for 'syrup',175
107,108,bottled beer,beer,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=bottled beer&newSort=true,97 results for 'bottled beer',97
108,109,canned beer,beer,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=canned beer&newSort=true,47 results for 'canned beer',47
109,110,brandy,hard drinks,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=brandy&newSort=true,46 results for 'brandy',46
110,111,whisky,hard drinks,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=whisky&newSort=true,129 results for 'whisky',129
111,112,liquor,hard drinks,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=liquor&newSort=true,94 results for 'liquor',94
112,113,rum,hard drinks,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=rum&newSort=true,64 results for 'rum',64
113,114,liqueur,hard drinks,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=liqueur&newSort=true,94 results for 'liqueur',94
114,115,liquor (appetizer),hard drinks,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=liquor (appetizer)&newSort=true,No results for 'liquor (appetizer)',
115,116,white wine,wine,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=white wine&newSort=true,321 results for 'white wine',321
116,117,red/blush wine,wine,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=red/blush wine&newSort=true,No results for 'red/blush wine',
117,118,prosecco,wine,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=prosecco&newSort=true,17 results for 'prosecco',17
118,119,sparkling wine,wine,drinks,http://www.tesco.com/groceries/product/search/default.aspx?notepad=sparkling wine&newSort=true,89 results for 'sparkling wine',89
119,120,salty snack,snacks,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=salty snack&newSort=true,28 results for 'salt snack',28
120,121,popcorn,snacks,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=popcorn&newSort=true,65 results for 'popcorn',65
121,122,nut snack,snacks,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=nut snack&newSort=true,586 results for 'nut snack',586
122,123,snack products,snacks,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=snack products&newSort=true,6 results for 'snack products',6
123,124,long life bakery product,long-life bakery products,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=long life bakery product&newSort=true,155 results for 'long life bakery product',155
124,125,waffles,long-life bakery products,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=waffles&newSort=true,19 results for 'waffles',19
125,126,cake bar,long-life bakery products,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=cake bar&newSort=true,286 results for 'cake bar',286
126,127,chewing gum,chewing gum,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=chewing gum&newSort=true,362 results for 'chewing gum',362
127,128,chocolate,chocolate,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=chocolate&newSort=true,1762 results for 'chocolate',1762
128,129,cooking chocolate,chocolate,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=cooking chocolate&newSort=true,28 results for 'cooking chocolate',28
129,130,specialty chocolate,chocolate,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=specialty chocolate&newSort=true,1 result for 'speciality chocolate',1
130,131,specialty bar,chocolate,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=specialty bar&newSort=true,No results for 'specialty bar',
131,132,chocolate marshmallow,chocolate,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=chocolate marshmallow&newSort=true,18 results for 'chocolate marshmallow',18
132,133,candy,candy,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=candy&newSort=true,98 results for 'candy',98
133,134,seasonal products,seasonal products,snacks and candies,http://www.tesco.com/groceries/product/search/default.aspx?notepad=seasonal products&newSort=true,No results for 'seasonal products',
134,135,detergent,detergent/softener,detergent,http://www.tesco.com/groceries/product/search/default.aspx?notepad=detergent&newSort=true,306 results for 'detergent',306
135,136,softener,detergent/softener,detergent,http://www.tesco.com/groceries/product/search/default.aspx?notepad=softener&newSort=true,5 results for 'softener',5
136,137,decalcifier,detergent/softener,detergent,http://www.tesco.com/groceries/product/search/default.aspx?notepad=decalcifier&newSort=true,No results for 'decalcifier',
137,138,dish cleaner,cleaner,detergent,http://www.tesco.com/groceries/product/search/default.aspx?notepad=dish cleaner&newSort=true,3 results for 'dish cleaner',3
138,139,abrasive cleaner,cleaner,detergent,http://www.tesco.com/groceries/product/search/default.aspx?notepad=abrasive cleaner&newSort=true,No results for 'abrasive cleaner',
139,140,cleaner,cleaner,detergent,http://www.tesco.com/groceries/product/search/default.aspx?notepad=cleaner&newSort=true,379 results for 'cleaner',379
140,141,toilet cleaner,bathroom cleaner,detergent,http://www.tesco.com/groceries/product/search/default.aspx?notepad=toilet cleaner&newSort=true,75 results for 'toilet cleaner',75
141,142,bathroom cleaner,bathroom cleaner,detergent,http://www.tesco.com/groceries/product/search/default.aspx?notepad=bathroom cleaner&newSort=true,32 results for 'bathroom cleaner',32
142,143,hair spray,hair care,perfumery,http://www.tesco.com/groceries/product/search/default.aspx?notepad=hair spray&newSort=true,72 results for 'hair spray',72
143,144,dental care,dental care,perfumery,http://www.tesco.com/groceries/product/search/default.aspx?notepad=dental care&newSort=true,29 results for 'dental care',29
144,145,male cosmetics,cosmetics,perfumery,http://www.tesco.com/groceries/product/search/default.aspx?notepad=male cosmetics&newSort=true,No results for 'male cosmetics',
145,146,make up remover,cosmetics,perfumery,http://www.tesco.com/groceries/product/search/default.aspx?notepad=make up remover&newSort=true,55 results for 'make up remover',55
146,147,skin care,cosmetics,perfumery,http://www.tesco.com/groceries/product/search/default.aspx?notepad=skin care&newSort=true,823 results for 'skin care',823
147,148,female sanitary products,cosmetics,perfumery,http://www.tesco.com/groceries/product/search/default.aspx?notepad=female sanitary products&newSort=true,4 results for 'female sanitary products',4
148,149,baby cosmetics,cosmetics,perfumery,http://www.tesco.com/groceries/product/search/default.aspx?notepad=baby cosmetics&newSort=true,1 result for 'baby cosmetics',1
149,150,soap,soap,perfumery,http://www.tesco.com/groceries/product/search/default.aspx?notepad=soap&newSort=true,727 results for 'soap',727
150,151,rubbing alcohol,personal hygiene,perfumery,http://www.tesco.com/groceries/product/search/default.aspx?notepad=rubbing alcohol&newSort=true,No results for 'rubbing alcohol',
151,152,hygiene articles,perfumery,perfumery,http://www.tesco.com/groceries/product/search/default.aspx?notepad=hygiene articles&newSort=true,No results for 'hygiene articles',
152,153,napkins,perfumery,perfumery,http://www.tesco.com/groceries/product/search/default.aspx?notepad=napkins&newSort=true,32 results for 'napkins',32
153,154,dishes,non-food kitchen,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=dishes&newSort=true,213 results for 'dishes',213
154,155,cookware,non-food kitchen,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=cookware&newSort=true,50 results for 'cookware',50
155,156,kitchen utensil,non-food kitchen,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=kitchen utensil&newSort=true,27 results for 'kitchen utensil',27
156,157,cling film/bags,non-food kitchen,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=cling film/bags&newSort=true,No results for 'cling film/bags',
157,158,kitchen towels,non-food house keeping products,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=kitchen towels&newSort=true,31 results for 'kitchen towels',31
158,159,house keeping products,non-food house keeping products,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=house keeping products&newSort=true,4 results for 'housekeeping products',4
159,160,candles,non-food house keeping products,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=candles&newSort=true,156 results for 'candles',156
160,161,light bulbs,non-food house keeping products,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=light bulbs&newSort=true,79 results for 'lightbulbs',79
161,162,sound storage medium,games/books/hobby,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=sound storage medium&newSort=true,2 results for 'sound storage medium',2
162,163,newspapers,games/books/hobby,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=newspapers&newSort=true,31 results for 'newspapers',31
163,164,photo/film,games/books/hobby,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=photo/film&newSort=true,No results for 'photo/film',
164,165,pot plants,garden,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=pot plants&newSort=true,2 results for 'pot plants',2
165,166,flower soil/fertilizer,garden,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=flower soil/fertilizer&newSort=true,No results for 'flower soil/fertilizer',
166,167,flower (seeds),garden,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=flower (seeds)&newSort=true,No results for 'flower (seeds)',
167,168,shopping bags,bags,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=shopping bags&newSort=true,18 results for 'shopping bags',18
168,169,bags,bags,non-food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=bags&newSort=true,806 results for 'bags',806
