	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
15	0.164	G	150.0	True			1	100G	[5 bars of mixed cereals, dried fruit & yoghurt flavoured topping., Visit www.halenhearty.co.uk to see the full range.]	http://img.tesco.com/Groceries/pi/638/5060204240638/IDShot_90x90.jpg	Hale&Heartyhoney Honeybeebar 150	2.5	81544379	1.67
16	23.125	G	175.0				1	100G	[Assorted Chewy Sweets with Strawberry/Blackcurrant, Cola/Lemon and Orange/Banana Flavours., www.fruittella.com]	http://img.tesco.com/Groceries/pi/944/8723400771944/IDShot_90x90.jpg	Fruitella Zoomania Bag 175G	1.0	80918417	0.571
17	0.388	G	300.0	False			1	100G	[Cream and Jam Doughnuts with a Sweet Powder Dusting]	http://img.tesco.com/Groceries/pi/083/5017221111083/IDShot_90x90.jpg	Country Style Cream Doughnuts 300G	1.0	81596645	0.333
18	0.88	CL	50.0				1	75CL	[Moscatel Licor Wine, Sweet & fruity perfect with your favourite pudding or try over ice cream.    This sweet wine displays delicate floral & honey  aromas. Made from the Muscat grape, grown in Spain's Valencia region.   Goes with summer pudding or fruit salad.]	http://img.tesco.com/Groceries/pi/936/5054775812936/IDShot_90x90.jpg	Tesco Dessert Wine 50Cl	3.75	81067425	5.63
19	0.333	G	288.0	False			1	100G	[Choux pastry profiteroles with a chocolate flavour cream filling and white chocolate flavoured coating, Choux pastry profiteroles with a chocolate flavour cream filling and white chocolate flavoured coating]	http://img.tesco.com/Groceries/pi/945/5054269803945/IDShot_90x90.jpg	Tesco Snowball Profiteroles 288G	2.0	79778341	0.694
20	0.125	G	97.0	False			1	100G	[Moroccan style seasoned cous cous with a harissa style sauce sachet and a fruit and seed mix., Did you know?, The drink of choice in Morocco is Atai, a mix of green tea, mint & sugar.If you're offered it, it is considered rude if you don't drink it.]	http://img.tesco.com/Groceries/pi/003/5050665035003/IDShot_90x90.jpg	Mug Shot Sensations Harissa 97G	1.49	81408167	1.54
21	5.833	CL	75.0				1	75CL	[Red Portuguese Wine, Taylor, Fladgate & Yeatman was founded in 1692. It has remained family owned and run throughout its history, which makes it unique amongst port companies. The family was the first shipper to understand the importance of owning its own vineyards. So, in 1744, they bought an estate at 'Lugar das Lages' outside Regua in what was then the heart of the port wine region. At this property the company continues to make fine traditional ports. First Estate Reserve is still vinified at this old property, it is blended to produce a rich, full young port with an abundance of fruit   a true reflection of the Taylor's style and tradition.]	http://img.tesco.com/Groceries/pi/260/5013626111260/IDShot_90x90.jpg	Taylors First Estate Port 75Cl	12.0	51485091	12.0
22	0.163	G	130.0	False			1	100G	[Chocolate sponge layered with salted caramel sauce and toffee mousse, decorated with salted caramel sauce and chocolate curls.]	http://img.tesco.com/Groceries/pi/881/5390003010881/IDShot_90x90.jpg	Wwfh Salted Caramel Chocolate Torte 130G	1.25	81796190	0.962
23	1.244	CL	75.0				1	75CL	[Late Bottled Vintage Port. Wine of Portugal. Oporto Portugal., A rich, fruity port with black fruit flavours, complex light clove spice aromas and a long, powerful, structured finish. Made from local Portuguese grape varieties grown in the Douro Valley. Blended from wines from a single year and released when ready to drink. Serve at room temperature as an aperitif, with blue cheese such as Stilton or with chocolate dessert. Store upright in a cool, dark place. This wine can be enjoyed now or carefully stored up to five years from puchase. Once open, drink within three weeks.]	http://img.tesco.com/Groceries/pi/409/5052320835409/IDShot_90x90.jpg	Tesco Finest Late Bottled Vintage Port 75Cl	10.5	51009996	10.5
24	1.333	CL	75.0				1	75CL	[VINTAGE PORT 1997. Produce of Portugal. Oporto Portugal., A classic perfumed nose of rich dark berry fruit combined with fresh floral hints. On the palate full bodied and with an excellent tannic backbone leading to a long lingering finish.]	http://img.tesco.com/Groceries/pi/966/5000436890966/IDShot_90x90.jpg	Tesco Finest Vintage Port 75Cl	18.0	54959753	18.0
